algorithm,seed,step,level,building,net_electricity
BC,1,24,building,3,2.319814443588257
BC,1,24,district,0,3.486476421356201
BC,1,25,building,1,0.7465196847915649
BC,1,25,building,2,0.4165947139263153
BC,1,25,building,3,0.7049373388290405
BC,1,25,district,0,1.8680517375469208
BC,1,26,building,1,0.7450479865074158
BC,1,26,building,2,0.4084703326225281
BC,1,26,building,3,0.701858639717102
BC,1,26,district,0,1.855376958847046
BC,1,27,building,1,0.7437462210655212
BC,1,27,building,2,0.39794498682022095
BC,1,27,building,3,0.6994597911834717
BC,1,27,district,0,1.8411509990692139
BC,1,28,building,1,0.7423877716064453
BC,1,28,building,2,0.41661337018013
BC,1,28,building,3,1.4704068899154663
BC,1,28,district,0,2.6294080317020416
BC,1,29,building,1,1.747003436088562
BC,1,29,building,2,0.43149852752685547
BC,1,29,building,3,0.7180171608924866
BC,1,29,district,0,2.896519124507904
BC,1,30,building,1,1.7581616640090942
BC,1,30,building,2,0.4601372480392456
BC,1,30,building,3,0.7826663255691528
BC,1,30,district,0,3.0009652376174927
BC,1,31,building,1,1.7224549055099487
BC,1,31,building,2,0.4725344777107239
BC,1,31,building,3,0.7418296337127686
BC,1,31,district,0,2.936819016933441
BC,1,32,building,1,0.470278263092041
BC,1,32,building,2,0.42166468501091003
BC,1,32,building,3,0.7747449278831482
BC,1,32,district,0,1.6666878759860992
BC,1,33,building,1,0.030810309574007988
BC,1,33,building,2,1.5400445461273193
BC,1,33,building,3,0.772992730140686
BC,1,33,district,0,2.3438475858420134
BC,1,34,building,1,-0.03952595219016075
BC,1,34,building,2,0.3688370883464813
BC,1,34,building,3,0.5309510827064514
BC,1,34,district,0,0.860262218862772
BC,1,35,building,1,0.45496341586112976
BC,1,35,building,2,0.6110753417015076
BC,1,35,building,3,0.2646273076534271
BC,1,35,district,0,1.3306660652160645
BC,1,36,building,1,0.7147744297981262
BC,1,36,building,2,0.45265308022499084
BC,1,36,building,3,0.06793816387653351
BC,1,36,district,0,1.2353656738996506
BC,1,37,building,1,5.189679145812988
BC,1,37,building,2,0.18345342576503754
BC,1,37,building,3,-0.16462819278240204
BC,1,37,district,0,5.208504378795624
BC,1,38,building,1,2.144444227218628
BC,1,38,building,2,0.05898559093475342
BC,1,38,building,3,-0.314072847366333
BC,1,38,district,0,1.8893569707870483
BC,1,39,building,1,-0.12208444625139236
BC,1,39,building,2,0.16946890950202942
BC,1,39,building,3,0.2188546061515808
BC,1,39,district,0,0.26623906940221786
BC,1,40,building,1,-0.2627672255039215
BC,1,40,building,2,1.00135338306427
BC,1,40,building,3,0.03603394702076912
BC,1,40,district,0,0.7746201045811176
BC,1,41,building,1,0.8400547504425049
BC,1,41,building,2,0.42240697145462036
BC,1,41,building,3,0.7709469795227051
BC,1,41,district,0,2.0334087014198303
BC,1,42,building,1,0.24650704860687256
BC,1,42,building,2,0.21931609511375427
BC,1,42,building,3,0.6494632363319397
BC,1,42,district,0,1.1152863800525665
BC,1,43,building,1,1.501416563987732
BC,1,43,building,2,0.5203406810760498
BC,1,43,building,3,1.3574875593185425
BC,1,43,district,0,3.379244804382324
BC,1,44,building,1,1.1506545543670654
BC,1,44,building,2,0.44840383529663086
BC,1,44,building,3,1.0092382431030273
BC,1,44,district,0,2.6082966327667236
BC,1,45,building,1,2.683147668838501
BC,1,45,building,2,0.43095287680625916
BC,1,45,building,3,0.7336058616638184
BC,1,45,district,0,3.8477064073085785
BC,1,46,building,1,1.0276386737823486
BC,1,46,building,2,0.4255005121231079
BC,1,46,building,3,0.9821414947509766
BC,1,46,district,0,2.435280680656433
BC,1,47,building,1,0.9358512163162231
BC,1,47,building,2,0.422519326210022
BC,1,47,building,3,0.9750775694847107
BC,1,47,district,0,2.333448112010956
BC,1,48,building,1,0.7672944068908691
BC,1,48,building,2,0.4182741045951843
BC,1,48,building,3,0.7096019983291626
BC,1,48,district,0,1.895170509815216
BC,1,49,building,1,0.7465196251869202
BC,1,49,building,2,0.4165947139263153
BC,1,49,building,3,0.7049373388290405
BC,1,49,district,0,1.868051677942276
BC,1,50,building,1,0.7450479865074158
BC,1,50,building,2,0.41517964005470276
BC,1,50,building,3,0.701858639717102
BC,1,50,district,0,1.8620862662792206
BC,1,51,building,1,0.7437461614608765
BC,1,51,building,2,0.41387784481048584
BC,1,51,building,3,0.6994597911834717
BC,1,51,district,0,1.857083797454834
BC,1,52,building,1,0.727165162563324
BC,1,52,building,2,0.41661337018013
BC,1,52,building,3,0.7016866207122803
BC,1,52,district,0,1.8454651534557343
BC,1,53,building,1,0.7409160733222961
BC,1,53,building,2,0.43149852752685547
BC,1,53,building,3,0.7180171608924866
BC,1,53,district,0,1.8904317617416382
BC,1,54,building,1,0.741085946559906
BC,1,54,building,2,0.4601372480392456
BC,1,54,building,3,0.7826663255691528
BC,1,54,district,0,1.9838895201683044
BC,1,55,building,1,0.6948925256729126
BC,1,55,building,2,0.46823230385780334
BC,1,55,building,3,0.7332252860069275
BC,1,55,district,0,1.8963501155376434
BC,1,56,building,1,0.9120379090309143
BC,1,56,building,2,0.5279269218444824
BC,1,56,building,3,0.5932434797286987
BC,1,56,district,0,2.0332083106040955
BC,1,57,building,1,1.1870847940444946
BC,1,57,building,2,0.4336628019809723
BC,1,57,building,3,1.1488392353057861
BC,1,57,district,0,2.769586831331253
BC,1,58,building,1,-0.1480524241924286
BC,1,58,building,2,0.45759597420692444
BC,1,58,building,3,0.7084688544273376
BC,1,58,district,0,1.0180124044418335
BC,1,59,building,1,-0.4522534906864166
BC,1,59,building,2,0.27733784914016724
BC,1,59,building,3,1.0791618824005127
BC,1,59,district,0,0.9042462408542633
BC,1,60,building,1,-0.6517258286476135
BC,1,60,building,2,1.5038464069366455
BC,1,60,building,3,-0.03958147019147873
BC,1,60,district,0,0.8125391080975533
BC,1,61,building,1,-0.6943846940994263
BC,1,61,building,2,0.5950239300727844
BC,1,61,building,3,0.16474592685699463
BC,1,61,district,0,0.06538516283035278
BC,1,62,building,1,-0.3721521198749542
BC,1,62,building,2,0.04651384428143501
BC,1,62,building,3,7.286092758178711
BC,1,62,district,0,6.960454482585192
BC,1,63,building,1,-0.2906370162963867
BC,1,63,building,2,0.060337670147418976
BC,1,63,building,3,0.2229762226343155
BC,1,63,district,0,-0.007323123514652252
BC,1,64,building,1,1.953678846359253
BC,1,64,building,2,0.21568748354911804
BC,1,64,building,3,0.8079134821891785
BC,1,64,district,0,2.9772798120975494
BC,1,65,building,1,1.2930409908294678
BC,1,65,building,2,0.24054041504859924
BC,1,65,building,3,1.5046777725219727
BC,1,65,district,0,3.0382591784000397
BC,1,66,building,1,0.5362659096717834
BC,1,66,building,2,0.4471309185028076
BC,1,66,building,3,0.9655649662017822
BC,1,66,district,0,1.9489617943763733
BC,1,67,building,1,1.3790452480316162
BC,1,67,building,2,0.5427621603012085
BC,1,67,building,3,2.248762845993042
BC,1,67,district,0,4.170570254325867
BC,1,68,building,1,1.2254712581634521
BC,1,68,building,2,0.5883764028549194
BC,1,68,building,3,1.6048426628112793
BC,1,68,district,0,3.418690323829651
BC,1,69,building,1,1.0030665397644043
BC,1,69,building,2,0.5939443707466125
BC,1,69,building,3,1.4465794563293457
BC,1,69,district,0,3.0435903668403625
BC,1,70,building,1,1.0276386737823486
BC,1,70,building,2,0.6770882606506348
BC,1,70,building,3,1.4728758335113525
BC,1,70,district,0,3.177602767944336
BC,1,71,building,1,0.874835193157196
BC,1,71,building,2,0.422519326210022
BC,1,71,building,3,0.7188379168510437
BC,1,71,district,0,2.0161924362182617
BC,1,72,building,1,1.263551115989685
BC,1,72,building,2,0.4182741045951843
BC,1,72,building,3,0.7096019983291626
BC,1,72,district,0,2.391427218914032
BC,1,73,building,1,0.751777172088623
BC,1,73,building,2,0.4165946841239929
BC,1,73,building,3,0.7049373388290405
BC,1,73,district,0,1.8733091950416565
BC,1,74,building,1,0.7450479865074158
BC,1,74,building,2,0.41517964005470276
BC,1,74,building,3,0.7018586993217468
BC,1,74,district,0,1.8620863258838654
BC,1,75,building,1,0.7437461614608765
BC,1,75,building,2,0.41387784481048584
BC,1,75,building,3,0.6994597911834717
BC,1,75,district,0,1.857083797454834
BC,1,76,building,1,0.727165162563324
BC,1,76,building,2,0.41661337018013
BC,1,76,building,3,0.7016866207122803
BC,1,76,district,0,1.8454651534557343
BC,1,77,building,1,0.7409160733222961
BC,1,77,building,2,0.43149852752685547
BC,1,77,building,3,0.7180172204971313
BC,1,77,district,0,1.890431821346283
BC,1,78,building,1,1.7600440979003906
BC,1,78,building,2,0.4601372480392456
BC,1,78,building,3,0.8106089234352112
BC,1,78,district,0,3.0307902693748474
BC,1,79,building,1,0.7522009015083313
BC,1,79,building,2,0.48348215222358704
BC,1,79,building,3,2.1959967613220215
BC,1,79,district,0,3.43167981505394
BC,1,80,building,1,0.8928758502006531
BC,1,80,building,2,0.5903879404067993
BC,1,80,building,3,0.9119861721992493
BC,1,80,district,0,2.3952499628067017
BC,1,81,building,1,0.5378971695899963
BC,1,81,building,2,0.5941386818885803
BC,1,81,building,3,2.0056700706481934
BC,1,81,district,0,3.13770592212677
BC,1,82,building,1,0.19256095588207245
BC,1,82,building,2,0.6048393845558167
BC,1,82,building,3,0.8162304759025574
BC,1,82,district,0,1.6136308163404465
BC,1,83,building,1,0.49507972598075867
BC,1,83,building,2,0.5360673069953918
BC,1,83,building,3,1.2203923463821411
BC,1,83,district,0,2.2515393793582916
BC,1,84,building,1,0.041944727301597595
BC,1,84,building,2,0.5220574736595154
BC,1,84,building,3,0.5244547724723816
BC,1,84,district,0,1.0884569734334946
BC,1,85,building,1,-0.09497758746147156
BC,1,85,building,2,0.426668643951416
BC,1,85,building,3,1.0972168445587158
BC,1,85,district,0,1.4289079010486603
BC,1,86,building,1,0.2888660430908203
BC,1,86,building,2,0.31613224744796753
BC,1,86,building,3,0.21488048136234283
BC,1,86,district,0,0.8198787719011307
BC,1,87,building,1,-0.1824738085269928
BC,1,87,building,2,0.31414031982421875
BC,1,87,building,3,0.0810646042227745
BC,1,87,district,0,0.21273111552000046
BC,1,88,building,1,-0.23953653872013092
BC,1,88,building,2,0.26134446263313293
BC,1,88,building,3,0.1246211901307106
BC,1,88,district,0,0.14642911404371262
BC,1,89,building,1,0.031315889209508896
BC,1,89,building,2,0.4231622815132141
BC,1,89,building,3,0.23001602292060852
BC,1,89,district,0,0.6844941936433315
BC,1,90,building,1,1.3521958589553833
BC,1,90,building,2,1.524639368057251
BC,1,90,building,3,0.5347970724105835
BC,1,90,district,0,3.4116322994232178
BC,1,91,building,1,0.7910309433937073
BC,1,91,building,2,0.5250232815742493
BC,1,91,building,3,1.1106126308441162
BC,1,91,district,0,2.4266668558120728
BC,1,92,building,1,0.9868736267089844
BC,1,92,building,2,0.7135245203971863
BC,1,92,building,3,1.0092382431030273
BC,1,92,district,0,2.709636390209198
BC,1,93,building,1,1.3287569284439087
BC,1,93,building,2,0.5939443707466125
BC,1,93,building,3,1.0435116291046143
BC,1,93,district,0,2.9662129282951355
BC,1,94,building,1,0.9370835423469543
BC,1,94,building,2,0.6168803572654724
BC,1,94,building,3,1.099388599395752
BC,1,94,district,0,2.6533524990081787
BC,1,95,building,1,1.05126953125
BC,1,95,building,2,0.5588744878768921
BC,1,95,building,3,1.2460033893585205
BC,1,95,district,0,2.8561474084854126
BC,1,96,building,1,0.74838787317276
BC,1,96,building,2,0.5434221625328064
BC,1,96,building,3,0.8094058036804199
BC,1,96,district,0,2.1012158393859863
BC,1,97,building,1,0.7465196251869202
BC,1,97,building,2,0.4165947139263153
BC,1,97,building,3,0.7355806231498718
BC,1,97,district,0,1.8986949622631073
BC,1,98,building,1,0.7450479865074158
BC,1,98,building,2,0.41517964005470276
BC,1,98,building,3,0.6998516321182251
BC,1,98,district,0,1.8600792586803436
BC,1,99,building,1,0.7437461614608765
BC,1,99,building,2,0.41387784481048584
BC,1,99,building,3,0.6994597911834717
BC,1,99,district,0,1.857083797454834
BC,1,100,building,1,0.7423877716064453
BC,1,100,building,2,0.41661337018013
BC,1,100,building,3,0.7016866207122803
BC,1,100,district,0,1.8606877624988556
BC,1,101,building,1,1.6468629837036133
BC,1,101,building,2,0.43149852752685547
BC,1,101,building,3,0.7180171608924866
BC,1,101,district,0,2.7963786721229553
BC,1,102,building,1,0.7392035126686096
BC,1,102,building,2,0.4601372480392456
BC,1,102,building,3,0.8106089234352112
BC,1,102,district,0,2.0099496841430664
BC,1,103,building,1,1.470796823501587
BC,1,103,building,2,0.4702152907848358
BC,1,103,building,3,0.7371912598609924
BC,1,103,district,0,2.678203374147415
BC,1,104,building,1,1.7991245985031128
BC,1,104,building,2,1.3454328775405884
BC,1,104,building,3,0.5914331674575806
BC,1,104,district,0,3.7359906435012817
BC,1,105,building,1,0.6590230464935303
BC,1,105,building,2,0.46733248233795166
BC,1,105,building,3,0.3339524567127228
BC,1,105,district,0,1.4603079855442047
BC,1,106,building,1,-0.10354535281658173
BC,1,106,building,2,0.4596562683582306
BC,1,106,building,3,0.1432841569185257
BC,1,106,district,0,0.49939507246017456
BC,1,107,building,1,-0.624098539352417
BC,1,107,building,2,0.21392856538295746
BC,1,107,building,3,-0.1117410957813263
BC,1,107,district,0,-0.5219110697507858
BC,1,108,building,1,-0.5340396761894226
BC,1,108,building,2,0.7384957075119019
BC,1,108,building,3,-0.28777092695236206
BC,1,108,district,0,-0.08331489562988281
BC,1,109,building,1,-0.5745295286178589
BC,1,109,building,2,0.21683745086193085
BC,1,109,building,3,0.40283307433128357
BC,1,109,district,0,0.04514099657535553
BC,1,110,building,1,-0.381562739610672
BC,1,110,building,2,0.096542589366436
BC,1,110,building,3,-0.17150558531284332
BC,1,110,district,0,-0.4565257355570793
BC,1,111,building,1,-0.5035807490348816
BC,1,111,building,2,-0.03195349499583244
BC,1,111,building,3,-0.26381441950798035
BC,1,111,district,0,-0.7993486635386944
BC,1,112,building,1,-0.1929289549589157
BC,1,112,building,2,0.07068882137537003
BC,1,112,building,3,-0.06500927358865738
BC,1,112,district,0,-0.18724940717220306
BC,1,113,building,1,-0.09214546531438828
BC,1,113,building,2,0.08254482597112656
BC,1,113,building,3,0.10655466467142105
BC,1,113,district,0,0.09695402532815933
BC,1,114,building,1,1.287189245223999
BC,1,114,building,2,0.31311357021331787
BC,1,114,building,3,0.9551961421966553
BC,1,114,district,0,2.555498957633972
BC,1,115,building,1,0.7633479237556458
BC,1,115,building,2,0.3822994828224182
BC,1,115,building,3,1.8398652076721191
BC,1,115,district,0,2.985512614250183
BC,1,116,building,1,1.1469781398773193
BC,1,116,building,2,0.44840383529663086
BC,1,116,building,3,3.205796718597412
BC,1,116,district,0,4.801178693771362
BC,1,117,building,1,0.8392809629440308
BC,1,117,building,2,0.5939443707466125
BC,1,117,building,3,1.8580434322357178
BC,1,117,district,0,3.291268765926361
BC,1,118,building,1,0.7559730410575867
BC,1,118,building,2,0.6168803572654724
BC,1,118,building,3,0.7259014844894409
BC,1,118,district,0,2.0987548828125
BC,1,119,building,1,0.9890437722206116
BC,1,119,building,2,0.5588744878768921
BC,1,119,building,3,0.9923983216285706
BC,1,119,district,0,2.540316581726074
BC,1,120,building,1,0.984626829624176
BC,1,120,building,2,0.4182741045951843
BC,1,120,building,3,0.7096019983291626
BC,1,120,district,0,2.112502932548523
BC,1,121,building,1,0.7465196847915649
BC,1,121,building,2,0.4165946841239929
BC,1,121,building,3,0.7049373388290405
BC,1,121,district,0,1.8680517077445984
BC,1,122,building,1,0.7450479865074158
BC,1,122,building,2,0.41517964005470276
BC,1,122,building,3,0.7018586993217468
BC,1,122,district,0,1.8620863258838654
BC,1,123,building,1,0.7437461614608765
BC,1,123,building,2,0.41387784481048584
BC,1,123,building,3,0.6994597911834717
BC,1,123,district,0,1.857083797454834
BC,1,124,building,1,0.7423877120018005
BC,1,124,building,2,0.41661337018013
BC,1,124,building,3,0.680012047290802
BC,1,124,district,0,1.8390131294727325
BC,1,125,building,1,0.7409160733222961
BC,1,125,building,2,0.43149852752685547
BC,1,125,building,3,0.7180171608924866
BC,1,125,district,0,1.8904317617416382
BC,1,126,building,1,1.3447179794311523
BC,1,126,building,2,0.4601372480392456
BC,1,126,building,3,0.7826663255691528
BC,1,126,district,0,2.587521553039551
BC,1,127,building,1,5.412779331207275
BC,1,127,building,2,0.5267764329910278
BC,1,127,building,3,8.214600563049316
BC,1,127,district,0,14.15415632724762
BC,1,128,building,1,0.49457696080207825
BC,1,128,building,2,0.509963870048523
BC,1,128,building,3,0.9113910794258118
BC,1,128,district,0,1.915931910276413
BC,1,129,building,1,0.17287179827690125
BC,1,129,building,2,0.48932984471321106
BC,1,129,building,3,0.7498422265052795
BC,1,129,district,0,1.4120438694953918
BC,1,130,building,1,4.5657219886779785
BC,1,130,building,2,0.36083412170410156
BC,1,130,building,3,0.6801005601882935
BC,1,130,district,0,5.6066566705703735
BC,1,131,building,1,-0.4447716474533081
BC,1,131,building,2,0.3383450210094452
BC,1,131,building,3,0.38945287466049194
BC,1,131,district,0,0.28302624821662903
BC,1,132,building,1,-0.7699840068817139
BC,1,132,building,2,0.23997433483600616
BC,1,132,building,3,-0.28747400641441345
BC,1,132,district,0,-0.8174836784601212
BC,1,133,building,1,-0.79815673828125
BC,1,133,building,2,0.3463965058326721
BC,1,133,building,3,-0.31965455412864685
BC,1,133,district,0,-0.7714147865772247
BC,1,134,building,1,-0.8084705471992493
BC,1,134,building,2,-0.02874448150396347
BC,1,134,building,3,-0.47487297654151917
BC,1,134,district,0,-1.312088005244732
BC,1,135,building,1,-0.25224170088768005
BC,1,135,building,2,-0.04542133957147598
BC,1,135,building,3,-0.4583064019680023
BC,1,135,district,0,-0.7559694424271584
BC,1,136,building,1,-0.5032399296760559
BC,1,136,building,2,0.033652372658252716
BC,1,136,building,3,-0.1390821784734726
BC,1,136,district,0,-0.6086697354912758
BC,1,137,building,1,-0.19523614645004272
BC,1,137,building,2,0.058931175619363785
BC,1,137,building,3,0.059327371418476105
BC,1,137,district,0,-0.07697759941220284
BC,1,138,building,1,2.1800713539123535
BC,1,138,building,2,0.21048897504806519
BC,1,138,building,3,0.4294525384902954
BC,1,138,district,0,2.820012867450714
BC,1,139,building,1,1.3110824823379517
BC,1,139,building,2,0.5124095678329468
BC,1,139,building,3,1.0853853225708008
BC,1,139,district,0,2.908877372741699
BC,1,140,building,1,2.0303406715393066
BC,1,140,building,2,0.44834545254707336
BC,1,140,building,3,1.0091215372085571
BC,1,140,district,0,3.487807661294937
BC,1,141,building,1,8.086325645446777
BC,1,141,building,2,0.43095287680625916
BC,1,141,building,3,2.6151790618896484
BC,1,141,district,0,11.132457584142685
BC,1,142,building,1,1.1721309423446655
BC,1,142,building,2,0.4255005121231079
BC,1,142,building,3,1.099388599395752
BC,1,142,district,0,2.6970200538635254
BC,1,143,building,1,0.8138191103935242
BC,1,143,building,2,0.422519326210022
BC,1,143,building,3,0.7188379168510437
BC,1,143,district,0,1.9551763534545898
BC,1,144,building,1,0.74838787317276
BC,1,144,building,2,0.4182741045951843
BC,1,144,building,3,0.7096019983291626
BC,1,144,district,0,1.876263976097107
BC,1,145,building,1,0.7465196251869202
BC,1,145,building,2,0.4165946841239929
BC,1,145,building,3,0.7049373388290405
BC,1,145,district,0,1.8680516481399536
BC,1,146,building,1,0.9789181351661682
BC,1,146,building,2,0.41517964005470276
BC,1,146,building,3,0.921061098575592
BC,1,146,district,0,2.315158873796463
BC,1,147,building,1,0.731078028678894
BC,1,147,building,2,0.41387784481048584
BC,1,147,building,3,0.9186621904373169
BC,1,147,district,0,2.0636180639266968
BC,1,148,building,1,0.727165162563324
BC,1,148,building,2,0.41661337018013
BC,1,148,building,3,0.8992144465446472
BC,1,148,district,0,2.042992979288101
BC,1,149,building,1,0.7409160733222961
BC,1,149,building,2,0.43149852752685547
BC,1,149,building,3,0.7618576288223267
BC,1,149,district,0,1.9342722296714783
BC,1,150,building,1,0.7373211979866028
BC,1,150,building,2,0.4601372480392456
BC,1,150,building,3,0.7826663255691528
BC,1,150,district,0,1.9801247715950012
BC,1,151,building,1,1.649857997894287
BC,1,151,building,2,1.044541597366333
BC,1,151,building,3,1.606926441192627
BC,1,151,district,0,4.301326036453247
BC,1,152,building,1,0.7793853878974915
BC,1,152,building,2,0.43533024191856384
BC,1,152,building,3,1.0212783813476562
BC,1,152,district,0,2.2359940111637115
BC,1,153,building,1,1.8829749822616577
BC,1,153,building,2,0.3951828181743622
BC,1,153,building,3,0.5892049670219421
BC,1,153,district,0,2.867362767457962
BC,1,154,building,1,-0.17836295068264008
BC,1,154,building,2,0.41937747597694397
BC,1,154,building,3,0.25858134031295776
BC,1,154,district,0,0.49959586560726166
BC,1,155,building,1,-0.38042375445365906
BC,1,155,building,2,0.5215764045715332
BC,1,155,building,3,0.01051124557852745
BC,1,155,district,0,0.1516638956964016
BC,1,156,building,1,4.923069953918457
BC,1,156,building,2,0.12259021401405334
BC,1,156,building,3,-0.09891540557146072
BC,1,156,district,0,4.94674476236105
BC,1,157,building,1,0.35964441299438477
BC,1,157,building,2,0.08702027797698975
BC,1,157,building,3,0.5739305019378662
BC,1,157,district,0,1.0205951929092407
BC,1,158,building,1,-0.09900692850351334
BC,1,158,building,2,-0.0159696526825428
BC,1,158,building,3,0.002737724455073476
BC,1,158,district,0,-0.11223885673098266
BC,1,159,building,1,-0.3571048378944397
BC,1,159,building,2,-0.06320139765739441
BC,1,159,building,3,-0.3263102173805237
BC,1,159,district,0,-0.7466164529323578
BC,1,160,building,1,-0.19978249073028564
BC,1,160,building,2,0.02454507350921631
BC,1,160,building,3,-0.3318549394607544
BC,1,160,district,0,-0.5070923566818237
BC,1,161,building,1,0.42674940824508667
BC,1,161,building,2,0.06463988870382309
BC,1,161,building,3,0.2899472117424011
BC,1,161,district,0,0.7813365086913109
BC,1,162,building,1,1.8529785871505737
BC,1,162,building,2,0.22286489605903625
BC,1,162,building,3,0.8757632374763489
BC,1,162,district,0,2.951606720685959
BC,1,163,building,1,1.4706459045410156
BC,1,163,building,2,0.3869975209236145
BC,1,163,building,3,2.0608651638031006
BC,1,163,district,0,3.9185085892677307
BC,1,164,building,1,1.091872215270996
BC,1,164,building,2,0.44816410541534424
BC,1,164,building,3,1.4826918840408325
BC,1,164,district,0,3.022728204727173
BC,1,165,building,1,1.823664903640747
BC,1,165,building,2,0.5939443707466125
BC,1,165,building,3,1.3534172773361206
BC,1,165,district,0,3.7710265517234802
BC,1,166,building,1,0.9370834827423096
BC,1,166,building,2,0.4255005121231079
BC,1,166,building,3,1.4728758335113525
BC,1,166,district,0,2.83545982837677
BC,1,167,building,1,0.7528030276298523
BC,1,167,building,2,0.422519326210022
BC,1,167,building,3,0.7188379168510437
BC,1,167,district,0,1.894160270690918
BC,1,168,building,1,0.74838787317276
BC,1,168,building,2,0.4182741045951843
BC,1,168,building,3,0.7096019983291626
BC,1,168,district,0,1.876263976097107
BC,1,169,building,1,0.7465196251869202
BC,1,169,building,2,0.4165946841239929
BC,1,169,building,3,0.7049373388290405
BC,1,169,district,0,1.8680516481399536
BC,1,170,building,1,0.7450479865074158
BC,1,170,building,2,0.41517961025238037
BC,1,170,building,3,0.7018586993217468
BC,1,170,district,0,1.862086296081543
BC,1,171,building,1,0.7437461614608765
BC,1,171,building,2,0.41387784481048584
BC,1,171,building,3,0.6994597911834717
BC,1,171,district,0,1.857083797454834
BC,1,172,building,1,0.7423877120018005
BC,1,172,building,2,0.41661337018013
BC,1,172,building,3,0.7016866207122803
BC,1,172,district,0,1.8606877028942108
BC,1,173,building,1,0.7409160733222961
BC,1,173,building,2,0.43149852752685547
BC,1,173,building,3,0.7180171608924866
BC,1,173,district,0,1.8904317617416382
BC,1,174,building,1,3.308847665786743
BC,1,174,building,2,0.4601372480392456
BC,1,174,building,3,0.7826663255691528
BC,1,174,district,0,4.551651239395142
BC,1,175,building,1,0.7766459584236145
BC,1,175,building,2,0.46889597177505493
BC,1,175,building,3,1.416291356086731
BC,1,175,district,0,2.6618332862854004
BC,1,176,building,1,0.5439443588256836
