loop_step,building,building_time_step,completed_index,indoor_temperature,cooling_setpoint,comfort_band,upper_comfort_boundary,occupant_count,learned_cooling_action,fallback_cooling_action,applied_cooling_action,action_difference
113,2,113,112,29.638092041015625,23.77777862548828,2.0,25.77777862548828,1.0,0.22277076542377472,0.800000011920929,0.800000011920929,0.5772292464971542
117,2,117,116,26.308948516845703,24.11111068725586,2.0,26.11111068725586,1.0,0.19201235473155975,0.4000000059604645,0.4000000059604645,0.20798765122890472
123,1,123,122,25.228235244750977,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
129,1,129,128,24.3247013092041,22.22222137451172,2.0,24.22222137451172,3.0,0.05658002570271492,0.800000011920929,0.800000011920929,0.743419986218214
136,3,136,135,26.0601749420166,23.33333396911621,2.0,25.33333396911621,1.0,0.1413942277431488,0.800000011920929,0.800000011920929,0.6586057841777802
139,2,139,138,27.514965057373047,25.0,2.0,27.0,1.0,0.15496882796287537,0.800000011920929,0.800000011920929,0.6450311839580536
140,1,140,139,27.837074279785156,25.66666603088379,2.0,27.66666603088379,2.0,0.04561556875705719,0.800000011920929,0.800000011920929,0.7543844431638718
145,2,145,144,25.37970542907715,23.33333396911621,2.0,25.33333396911621,1.0,0.08547893911600113,0.4000000059604645,0.4000000059604645,0.31452106684446335
146,1,146,145,25.315696716308594,22.22222137451172,2.0,24.22222137451172,3.0,0.04262156039476395,0.4000000059604645,0.4000000059604645,0.35737844556570053
153,1,153,152,24.965904235839844,22.77777862548828,2.0,24.77777862548828,3.0,0.03922669589519501,0.800000011920929,0.800000011920929,0.760773316025734
159,1,159,158,26.50293731689453,24.44444465637207,2.0,26.44444465637207,2.0,0.09499754756689072,0.800000011920929,0.800000011920929,0.7050024643540382
159,3,159,158,26.707012176513672,24.44444465637207,2.0,26.44444465637207,1.0,0.1376814842224121,0.800000011920929,0.800000011920929,0.6623185276985168
165,2,165,164,27.719940185546875,25.0,2.0,27.0,1.0,0.15983785688877106,0.4000000059604645,0.4000000059604645,0.24016214907169342
170,2,170,169,24.726280212402344,21.66666603088379,2.0,23.66666603088379,1.0,0.08802208304405212,0.4000000059604645,0.4000000059604645,0.31197792291641235
180,1,180,179,29.455242156982422,27.22222137451172,2.0,29.22222137451172,1.0,0.052430834621191025,0.800000011920929,0.800000011920929,0.7475691772997379
183,3,183,182,26.14925765991211,23.88888931274414,2.0,25.88888931274414,1.0,0.13126544654369354,0.800000011920929,0.800000011920929,0.6687345653772354
187,1,187,186,29.310813903808594,27.22222137451172,2.0,29.22222137451172,3.0,0.087257519364357,0.800000011920929,0.800000011920929,0.712742492556572
188,2,188,187,27.530567169189453,25.0,2.0,27.0,1.0,0.19363537430763245,0.800000011920929,0.800000011920929,0.6063646376132965
188,3,188,187,25.42641258239746,23.33333396911621,2.0,25.33333396911621,2.0,0.13571777939796448,0.800000011920929,0.800000011920929,0.6642822325229645
203,1,203,202,28.150367736816406,25.94444465637207,2.0,27.94444465637207,2.0,0.0492117777466774,0.800000011920929,0.800000011920929,0.7507882341742516
204,2,204,203,27.230255126953125,25.0,2.0,27.0,1.0,0.16849307715892792,0.800000011920929,0.800000011920929,0.631506934762001
206,3,206,205,26.4765625,24.22222137451172,2.0,26.22222137451172,2.0,0.13051781058311462,0.800000011920929,0.800000011920929,0.6694822013378143
207,2,207,206,27.413728713989258,25.0,2.0,27.0,1.0,0.1975577175617218,0.800000011920929,0.800000011920929,0.6024422943592072
208,1,208,207,27.869556427001953,25.38888931274414,2.0,27.38888931274414,2.0,0.07855715602636337,0.800000011920929,0.800000011920929,0.7214428558945656
211,3,211,210,26.54944610595703,24.33333396911621,2.0,26.33333396911621,2.0,0.13362987339496613,0.800000011920929,0.800000011920929,0.6663701385259628
216,1,216,215,25.43388557434082,22.77777862548828,2.0,24.77777862548828,3.0,0.04358580335974693,0.4000000059604645,0.4000000059604645,0.35641420260071754
223,1,223,222,24.360240936279297,22.22222137451172,2.0,24.22222137451172,3.0,0.03610757738351822,0.4000000059604645,0.4000000059604645,0.36389242857694626
228,2,228,227,27.237281799316406,25.0,2.0,27.0,1.0,0.1741371899843216,0.800000011920929,0.800000011920929,0.6258628219366074
229,1,229,228,26.538278579711914,24.44444465637207,2.0,26.44444465637207,2.0,0.08897153288125992,0.800000011920929,0.800000011920929,0.711028479039669
231,2,231,230,27.84262466430664,25.0,2.0,27.0,1.0,0.21023137867450714,0.800000011920929,0.800000011920929,0.5897686332464218
231,3,231,230,26.828088760375977,24.38888931274414,2.0,26.38888931274414,1.0,0.12728647887706757,0.800000011920929,0.800000011920929,0.6727135330438614
233,2,233,232,27.23516082763672,25.0,2.0,27.0,1.0,0.2144462615251541,0.800000011920929,0.800000011920929,0.5855537503957748
234,1,234,233,27.477779388427734,24.16666603088379,2.0,26.16666603088379,2.0,0.08392834663391113,0.800000011920929,0.800000011920929,0.7160716652870178
235,3,235,234,26.395347595214844,23.33333396911621,2.0,25.33333396911621,1.0,0.14425136148929596,0.800000011920929,0.800000011920929,0.655748650431633
242,1,242,241,24.997177124023438,22.22222137451172,2.0,24.22222137451172,3.0,0.030946794897317886,0.4000000059604645,0.4000000059604645,0.3690532110631466
249,1,249,248,24.246952056884766,22.22222137451172,2.0,24.22222137451172,1.0,0.053462088108062744,0.800000011920929,0.800000011920929,0.7465379238128662
255,1,255,254,26.099079132080078,23.61111068725586,2.0,25.61111068725586,1.0,0.09432777017354965,0.800000011920929,0.800000011920929,0.7056722417473793
256,3,256,255,26.54734992980957,23.88888931274414,2.0,25.88888931274414,1.0,0.13357500731945038,0.800000011920929,0.800000011920929,0.6664250046014786
261,2,261,260,28.326786041259766,25.0,2.0,27.0,1.0,0.21533849835395813,0.4000000059604645,0.4000000059604645,0.18466150760650635
264,1,264,263,25.961349487304688,22.77777862548828,2.0,24.77777862548828,3.0,0.0438254177570343,0.4000000059604645,0.4000000059604645,0.3561745882034302
265,2,265,264,25.211519241333008,22.77777862548828,2.0,24.77777862548828,1.0,0.05686555430293083,0.4000000059604645,0.4000000059604645,0.34313445165753365
269,1,269,268,24.356647491455078,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
278,1,278,277,26.746868133544922,24.44444465637207,2.0,26.44444465637207,1.0,0.08048602938652039,0.800000011920929,0.800000011920929,0.7195139825344086
278,3,278,277,25.988082885742188,23.88888931274414,2.0,25.88888931274414,1.0,0.12904323637485504,0.800000011920929,0.800000011920929,0.6709567755460739
282,1,282,281,26.70096206665039,24.44444465637207,2.0,26.44444465637207,3.0,0.0837293490767479,0.800000011920929,0.800000011920929,0.7162706628441811
282,2,282,281,30.590103149414062,25.0,2.0,27.0,1.0,0.188508078455925,0.800000011920929,0.800000011920929,0.611491933465004
286,3,286,285,25.769927978515625,23.61111068725586,2.0,25.61111068725586,2.0,0.14482381939888,0.4000000059604645,0.4000000059604645,0.2551761865615845
288,1,288,287,25.133516311645508,22.22222137451172,2.0,24.22222137451172,3.0,0.039963267743587494,0.4000000059604645,0.4000000059604645,0.360036738216877
297,1,297,296,24.543067932128906,22.22222137451172,2.0,24.22222137451172,1.0,0.050887711346149445,0.800000011920929,0.800000011920929,0.7491123005747795
304,1,304,303,26.788654327392578,24.44444465637207,2.0,26.44444465637207,3.0,0.10320840775966644,0.800000011920929,0.800000011920929,0.6967916041612625
304,3,304,303,25.900402069091797,23.88888931274414,2.0,25.88888931274414,1.0,0.14187002182006836,0.800000011920929,0.800000011920929,0.6581299901008606
307,2,307,306,29.888830184936523,25.0,2.0,27.0,1.0,0.19873173534870148,0.800000011920929,0.800000011920929,0.6012682765722275
313,1,313,312,26.373132705688477,23.27777862548828,2.0,25.27777862548828,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
314,2,314,313,25.419893264770508,23.33333396911621,2.0,25.33333396911621,1.0,0.05686555430293083,0.4000000059604645,0.4000000059604645,0.34313445165753365
319,1,319,318,24.518505096435547,22.22222137451172,2.0,24.22222137451172,3.0,0.05925656482577324,0.4000000059604645,0.4000000059604645,0.34074344113469124
328,3,328,327,26.526546478271484,24.16666603088379,2.0,26.16666603088379,1.0,0.1371796727180481,0.800000011920929,0.800000011920929,0.6628203392028809
329,1,329,328,28.753400802612305,26.66666603088379,2.0,28.66666603088379,3.0,0.10532873868942261,0.800000011920929,0.800000011920929,0.6946712732315063
332,2,332,331,27.823280334472656,25.0,2.0,27.0,1.0,0.20664581656455994,0.800000011920929,0.800000011920929,0.593354195356369
335,1,335,334,26.89063262939453,24.44444465637207,2.0,26.44444465637207,3.0,0.08636025339365005,0.4000000059604645,0.4000000059604645,0.3136397525668144
338,1,338,337,24.281335830688477,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
346,2,346,345,26.139556884765625,23.61111068725586,2.0,25.61111068725586,1.0,0.16199924051761627,0.800000011920929,0.800000011920929,0.6380007714033127
349,1,349,348,27.344972610473633,24.44444465637207,2.0,26.44444465637207,2.0,0.0744781419634819,0.800000011920929,0.800000011920929,0.725521869957447
353,1,353,352,26.752429962158203,24.44444465637207,2.0,26.44444465637207,2.0,0.10229187458753586,0.800000011920929,0.800000011920929,0.6977081373333931
353,3,353,352,27.109119415283203,23.88888931274414,2.0,25.88888931274414,1.0,0.14108894765377045,0.800000011920929,0.800000011920929,0.6589110642671585
357,2,357,356,27.56183624267578,24.72222137451172,2.0,26.72222137451172,1.0,0.17954400181770325,0.4000000059604645,0.4000000059604645,0.22045600414276123
361,1,361,360,26.178001403808594,23.27777862548828,2.0,25.27777862548828,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
367,1,367,366,24.47897720336914,22.22222137451172,2.0,24.22222137451172,3.0,0.04913799464702606,0.4000000059604645,0.4000000059604645,0.3508620113134384
371,2,371,370,27.044113159179688,25.0,2.0,27.0,1.0,0.15526223182678223,0.800000011920929,0.800000011920929,0.6447377800941467
372,3,372,371,26.04767608642578,23.88888931274414,2.0,25.88888931274414,2.0,0.10639350116252899,0.800000011920929,0.800000011920929,0.6936065107584
373,1,373,372,26.769237518310547,24.44444465637207,2.0,26.44444465637207,3.0,0.06777223944664001,0.800000011920929,0.800000011920929,0.7322277724742889
374,2,374,373,27.294658660888672,25.0,2.0,27.0,1.0,0.20447199046611786,0.800000011920929,0.800000011920929,0.5955280214548111
376,2,376,375,26.373836517333984,23.33333396911621,2.0,25.33333396911621,1.0,0.20121918618679047,0.800000011920929,0.800000011920929,0.5987808257341385
377,3,377,376,26.50390625,23.88888931274414,2.0,25.88888931274414,2.0,0.12435728311538696,0.800000011920929,0.800000011920929,0.675642728805542
386,2,386,385,25.5418643951416,23.33333396911621,2.0,25.33333396911621,1.0,0.05686555430293083,0.4000000059604645,0.4000000059604645,0.34313445165753365
395,1,395,394,29.333526611328125,27.22222137451172,2.0,29.22222137451172,3.0,0.04575636237859726,0.800000011920929,0.800000011920929,0.7542436495423317
396,2,396,395,27.66931915283203,25.0,2.0,27.0,1.0,0.18109598755836487,0.800000011920929,0.800000011920929,0.6189040243625641
396,3,396,395,26.075191497802734,23.88888931274414,2.0,25.88888931274414,2.0,0.11384347826242447,0.800000011920929,0.800000011920929,0.6861565336585045
397,1,397,396,28.73531723022461,25.0,2.0,27.0,2.0,0.06567195057868958,0.800000011920929,0.800000011920929,0.7343280613422394
397,2,397,396,27.516355514526367,25.0,2.0,27.0,1.0,0.1833290308713913,0.800000011920929,0.800000011920929,0.6166709810495377
398,2,398,397,28.009546279907227,25.0,2.0,27.0,1.0,0.17100925743579865,0.800000011920929,0.800000011920929,0.6289907544851303
399,1,399,398,29.117244720458984,25.55555534362793,2.0,27.55555534362793,2.0,0.05995155870914459,0.800000011920929,0.800000011920929,0.7400484532117844
399,2,399,398,28.591690063476562,25.0,2.0,27.0,1.0,0.17928431928157806,0.800000011920929,0.800000011920929,0.6207156926393509
399,3,399,398,26.302780151367188,23.88888931274414,2.0,25.88888931274414,1.0,0.1035565435886383,0.800000011920929,0.800000011920929,0.6964434683322906
400,1,400,399,27.877899169921875,23.5,2.0,25.5,2.0,0.04368242248892784,0.800000011920929,0.800000011920929,0.7563175894320011
400,2,400,399,29.14404296875,25.0,2.0,27.0,1.0,0.16085758805274963,0.800000011920929,0.800000011920929,0.6391424238681793
401,1,401,400,28.705867767333984,23.33333396911621,2.0,25.33333396911621,3.0,0.023423535749316216,0.800000011920929,0.800000011920929,0.7765764761716127
401,2,401,400,29.70361328125,25.0,2.0,27.0,1.0,0.1438041478395462,0.800000011920929,0.800000011920929,0.6561958640813828
401,3,401,400,26.784481048583984,23.88888931274414,2.0,25.88888931274414,2.0,0.03846965730190277,0.800000011920929,0.800000011920929,0.7615303546190262
402,1,402,401,29.35498046875,24.27777862548828,2.0,26.27777862548828,3.0,0.026295704767107964,0.800000011920929,0.800000011920929,0.773704307153821
402,2,402,401,30.270915985107422,25.0,2.0,27.0,1.0,0.31958645582199097,0.800000011920929,0.800000011920929,0.480413556098938
402,3,402,401,26.69986343383789,24.44444465637207,2.0,26.44444465637207,2.0,0.1579616218805313,0.800000011920929,0.800000011920929,0.6420383900403976
403,1,403,402,30.167896270751953,24.44444465637207,2.0,26.44444465637207,3.0,0.07270432263612747,0.800000011920929,0.800000011920929,0.7272956892848015
403,2,403,402,30.925539016723633,25.0,2.0,27.0,1.0,0.1645372211933136,0.800000011920929,0.800000011920929,0.6354627907276154
403,3,403,402,27.486135482788086,24.11111068725586,2.0,26.11111068725586,2.0,0.12680085003376007,0.800000011920929,0.800000011920929,0.6731991618871689
404,1,404,403,30.636878967285156,25.33333396911621,2.0,27.33333396911621,3.0,0.061076175421476364,0.800000011920929,0.800000011920929,0.7389238364994526
404,2,404,403,31.47256851196289,25.0,2.0,27.0,1.0,0.13908548653125763,0.800000011920929,0.800000011920929,0.6609145253896713
404,3,404,403,28.117244720458984,23.66666603088379,2.0,25.66666603088379,2.0,0.11905688792467117,0.800000011920929,0.800000011920929,0.6809431239962578
409,1,409,408,26.104475021362305,23.27777862548828,2.0,25.27777862548828,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
417,2,417,416,25.89409637451172,23.88888931274414,2.0,25.88888931274414,1.0,0.059476062655448914,0.800000011920929,0.800000011920929,0.74052394926548
421,1,421,420,27.05042266845703,24.5,2.0,26.5,1.0,0.035420361906290054,0.800000011920929,0.800000011920929,0.7645796500146389
421,2,421,420,27.494384765625,25.0,2.0,27.0,1.0,0.15207675099372864,0.800000011920929,0.800000011920929,0.6479232609272003
423,2,423,422,26.262537002563477,23.88888931274414,2.0,25.88888931274414,1.0,0.16295745968818665,0.800000011920929,0.800000011920929,0.6370425522327423
426,1,426,425,26.67618751525879,24.22222137451172,2.0,26.22222137451172,1.0,0.08554747700691223,0.800000011920929,0.800000011920929,0.7144525349140167
434,1,434,433,24.293193817138672,22.22222137451172,2.0,24.22222137451172,3.0,0.01830970123410225,0.4000000059604645,0.4000000059604645,0.38169030472636223
450,1,450,449,26.502761840820312,24.44444465637207,2.0,26.44444465637207,3.0,0.03083934262394905,0.800000011920929,0.800000011920929,0.7691606692969799
463,1,463,462,24.533966064453125,22.22222137451172,2.0,24.22222137451172,3.0,0.0,0.4000000059604645,0.4000000059604645,0.4000000059604645
473,1,473,472,25.938846588134766,23.61111068725586,2.0,25.61111068725586,1.0,0.00844496488571167,0.800000011920929,0.800000011920929,0.7915550470352173
488,1,488,487,24.345903396606445,22.27777862548828,2.0,24.27777862548828,1.0,0.047178592532873154,0.800000011920929,0.800000011920929,0.7528214193880558
496,1,496,495,26.78887176513672,24.77777862548828,2.0,26.77777862548828,1.0,0.07943601161241531,0.800000011920929,0.800000011920929,0.7205640003085136
498,3,498,497,26.587242126464844,24.44444465637207,2.0,26.44444465637207,1.0,0.20558220148086548,0.800000011920929,0.800000011920929,0.5944178104400635
499,2,499,498,27.650951385498047,25.0,2.0,27.0,1.0,0.17057660222053528,0.800000011920929,0.800000011920929,0.6294234097003937
505,1,505,504,25.48086166381836,23.27777862548828,2.0,25.27777862548828,3.0,0.03350643068552017,0.4000000059604645,0.4000000059604645,0.3664935752749443
512,1,512,511,24.373218536376953,22.27777862548828,2.0,24.27777862548828,2.0,0.047170862555503845,0.800000011920929,0.800000011920929,0.7528291493654251
519,1,519,518,27.473304748535156,24.94444465637207,2.0,26.94444465637207,2.0,0.08700500428676605,0.800000011920929,0.800000011920929,0.7129950076341629
519,3,519,518,26.734155654907227,24.44444465637207,2.0,26.44444465637207,1.0,0.13525636494159698,0.800000011920929,0.800000011920929,0.664743646979332
523,1,523,522,26.740432739257812,24.44444465637207,2.0,26.44444465637207,3.0,0.08685386925935745,0.800000011920929,0.800000011920929,0.7131461426615715
523,3,523,522,26.37273406982422,24.05555534362793,2.0,26.05555534362793,1.0,0.21308709681034088,0.800000011920929,0.800000011920929,0.5869129151105881
527,2,527,526,25.86079216003418,23.83333396911621,2.0,25.83333396911621,1.0,0.19064538180828094,0.4000000059604645,0.4000000059604645,0.20935462415218353
536,1,536,535,25.889678955078125,23.05555534362793,2.0,25.05555534362793,3.0,0.05382215604186058,0.800000011920929,0.800000011920929,0.7461778558790684
539,2,539,538,26.866657257080078,24.5,2.0,26.5,1.0,0.17899668216705322,0.800000011920929,0.800000011920929,0.6210033297538757
541,2,541,540,25.91903305053711,23.83333396911621,2.0,25.83333396911621,1.0,0.23868927359580994,0.800000011920929,0.800000011920929,0.561310738325119
541,3,541,540,26.614498138427734,24.11111068725586,2.0,26.11111068725586,2.0,0.14195019006729126,0.800000011920929,0.800000011920929,0.6580498218536377
542,1,542,541,26.872766494750977,24.44444465637207,2.0,26.44444465637207,2.0,0.09876607358455658,0.800000011920929,0.800000011920929,0.7012339383363724
544,2,544,543,27.820140838623047,25.0,2.0,27.0,1.0,0.2408384084701538,0.800000011920929,0.800000011920929,0.5591616034507751
545,3,545,544,26.52037239074707,23.88888931274414,2.0,25.88888931274414,2.0,0.14744657278060913,0.800000011920929,0.800000011920929,0.6525534391403198
546,1,546,545,26.533113479614258,24.33333396911621,2.0,26.33333396911621,2.0,0.08658889681100845,0.800000011920929,0.800000011920929,0.7134111151099205
547,2,547,546,27.175851821899414,25.0,2.0,27.0,1.0,0.15321843326091766,0.800000011920929,0.800000011920929,0.6467815786600113
554,1,554,553,24.81692886352539,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
565,1,565,564,27.15457534790039,24.44444465637207,2.0,26.44444465637207,2.0,0.06637280434370041,0.800000011920929,0.800000011920929,0.7336272075772285
565,2,565,564,27.902740478515625,25.0,2.0,27.0,1.0,0.17256946861743927,0.800000011920929,0.800000011920929,0.6274305433034897
565,3,565,564,26.364608764648438,23.88888931274414,2.0,25.88888931274414,2.0,0.11759818345308304,0.800000011920929,0.800000011920929,0.6824018284678459
567,2,567,566,27.065959930419922,23.33333396911621,2.0,25.33333396911621,1.0,0.1493684947490692,0.800000011920929,0.800000011920929,0.6506315171718597
569,1,569,568,26.954296112060547,23.33333396911621,2.0,25.33333396911621,2.0,0.09562963992357254,0.800000011920929,0.800000011920929,0.7043703719973564
569,3,569,568,26.085437774658203,23.88888931274414,2.0,25.88888931274414,1.0,0.1335841417312622,0.800000011920929,0.800000011920929,0.6664158701896667
571,2,571,570,27.13526153564453,25.0,2.0,27.0,1.0,0.2819683849811554,0.800000011920929,0.800000011920929,0.5180316269397736
576,2,576,575,25.034814834594727,22.77777862548828,2.0,24.77777862548828,1.0,0.05123813822865486,0.4000000059604645,0.4000000059604645,0.3487618677318096
577,1,577,576,25.741127014160156,23.27777862548828,2.0,25.27777862548828,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
590,1,590,589,26.802276611328125,24.44444465637207,2.0,26.44444465637207,2.0,0.07659123837947845,0.800000011920929,0.800000011920929,0.7234087735414505
592,2,592,591,28.650558471679688,23.22222137451172,2.0,25.22222137451172,1.0,0.15294085443019867,0.800000011920929,0.800000011920929,0.6470591574907303
601,1,601,600,26.224227905273438,23.33333396911621,2.0,25.33333396911621,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
613,1,613,612,26.78020668029785,24.44444465637207,2.0,26.44444465637207,1.0,0.090513214468956,0.800000011920929,0.800000011920929,0.709486797451973
615,3,615,614,25.939958572387695,23.88888931274414,2.0,25.88888931274414,1.0,0.14114311337471008,0.800000011920929,0.800000011920929,0.6588568985462189
617,1,617,616,25.970989227294922,23.88888931274414,2.0,25.88888931274414,2.0,0.09326387196779251,0.800000011920929,0.800000011920929,0.7067361399531364
620,2,620,619,28.34762191772461,25.0,2.0,27.0,1.0,0.19633305072784424,0.800000011920929,0.800000011920929,0.6036669611930847
626,1,626,625,24.51277732849121,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
636,1,636,635,26.662818908691406,24.44444465637207,2.0,26.44444465637207,1.0,0.061416175216436386,0.800000011920929,0.800000011920929,0.7385838367044926
636,2,636,635,27.622718811035156,25.0,2.0,27.0,1.0,0.18332909047603607,0.800000011920929,0.800000011920929,0.6166709214448929
640,1,640,639,27.164430618286133,24.44444465637207,2.0,26.44444465637207,2.0,0.09666716307401657,0.800000011920929,0.800000011920929,0.7033328488469124
642,3,642,641,27.661718368530273,24.44444465637207,2.0,26.44444465637207,1.0,0.14883330464363098,0.800000011920929,0.800000011920929,0.651166707277298
643,2,643,642,30.019207000732422,25.0,2.0,27.0,1.0,0.2691374123096466,0.800000011920929,0.800000011920929,0.5308625996112823
644,1,644,643,26.730022430419922,23.33333396911621,2.0,25.33333396911621,2.0,0.08779814839363098,0.800000011920929,0.800000011920929,0.712201863527298
650,1,650,649,24.63544273376465,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
657,1,657,656,24.638729095458984,22.22222137451172,2.0,24.22222137451172,1.0,0.04238472878932953,0.800000011920929,0.800000011920929,0.7576152831315994
658,2,658,657,27.479150772094727,25.0,2.0,27.0,1.0,0.19503596425056458,0.800000011920929,0.800000011920929,0.6049640476703644
660,3,660,659,26.513362884521484,24.44444465637207,2.0,26.44444465637207,1.0,0.10945769399404526,0.800000011920929,0.800000011920929,0.6905423179268837
663,1,663,662,27.139230728149414,24.44444465637207,2.0,26.44444465637207,1.0,0.10558431595563889,0.800000011920929,0.800000011920929,0.6944156959652901
665,3,665,664,26.667020797729492,23.88888931274414,2.0,25.88888931274414,1.0,0.1393534243106842,0.800000011920929,0.800000011920929,0.6606465876102448
666,2,666,665,30.703962326049805,24.44444465637207,2.0,26.44444465637207,1.0,0.24033693969249725,0.800000011920929,0.800000011920929,0.5596630722284317
667,1,667,666,27.021560668945312,24.44444465637207,2.0,26.44444465637207,3.0,0.07935821264982224,0.800000011920929,0.800000011920929,0.7206417992711067
668,2,668,667,27.57240104675293,25.0,2.0,27.0,1.0,0.13220836222171783,0.800000011920929,0.800000011920929,0.6677916496992111
674,1,674,673,25.25894546508789,22.22222137451172,2.0,24.22222137451172,3.0,0.023907165974378586,0.4000000059604645,0.4000000059604645,0.3760928399860859
